83360324,0,1,0,0,0,0,0,0,0,0,0,0
83360524,0,1,0,0,0,0,0,0,0,0,0,0
83360724,0,1,0,0,0,0,0,0,0,0,0,0
83360924,0,1,0,0,0,0,0,0,0,0,0,0
83361124,0,1,0,0,0,0,0,0,0,0,0,0
83361324,0,1,0,0,0,0,0,0,0,0,0,0
83361524,0,1,0,0,0,0,0,0,0,0,0,0
83361724,0,1,0,0,0,0,0,0,0,0,0,0
83361924,0,1,0,0,0,0,0,0,0,0,0,0
83362124,0,1,0,0,0,0,0,0,0,0,0,0
83362324,0,1,0,0,0,0,0,0,0,0,0,0
83362524,0,1,0,0,0,0,0,0,0,0,0,0
83362724,0,1,0,0,0,0,0,0,0,0,0,0
83362924,0,1,0,0,0,0,0,0,0,0,0,0
83363124,0,1,0,0,0,0,0,0,0,0,0,0
83363324,0,1,0,0,0,0,0,0,0,0,0,0
83363524,0,1,0,0,0,0,0,0,0,0,0,0
83363724,0,1,0,0,0,0,0,0,0,0,0,0
83363924,0,1,0,0,0,0,0,0,0,0,0,0
83364124,0,1,0,0,0,0,0,0,0,0,0,0
83364324,0,1,0,0,0,0,0,0,0,0,0,0
83364524,0,1,0,0,0,0,0,0,0,0,0,0
83364724,0,1,0,0,0,0,0,0,0,0,0,0
83364924,0,1,0,0,0,0,0,0,0,0,0,0
83365124,0,1,0,0,0,0,0,0,0,0,0,0
83365324,0,1,0,0,0,0,0,0,0,0,0,0
83365524,0,1,0,0,0,0,0,0,0,0,0,0
83365724,0,1,0,0,0,0,0,0,0,0,0,0
83365924,0,1,0,0,0,0,0,0,0,0,0,0
83366124,0,1,0,0,0,0,0,0,0,0,0,0
83366324,0,1,0,0,0,0,0,0,0,0,0,0
83366524,0,1,0,0,0,0,0,0,0,0,0,0
83366724,0,1,0,0,0,0,0,0,0,0,0,0
83366924,0,1,0,0,0,0,0,0,0,0,0,0
83367124,0,1,0,0,0,0,0,0,0,0,0,0
83367324,0,1,0,0,0,0,0,0,0,0,0,0
83367524,0,1,0,0,0,0,0,0,0,0,0,0
83367724,0,1,0,0,0,0,0,0,0,0,0,0
